FIPS,State,County,CHILDPOVRATE15,FARM_TO_SCHOOL15,FDPIR15,LACCESS_BLACK15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,LACCESS_HHNV10,LACCESS_HHNV15,LACCESS_HISP15,LACCESS_LOWI10,LACCESS_LOWI15,LACCESS_MULTIR15,LACCESS_NHASIAN15,LACCESS_NHNA15,LACCESS_NHPI15,LACCESS_POP10,LACCESS_POP15,LACCESS_SENIORS10,LACCESS_SENIORS15,LACCESS_SNAP15,LACCESS_WHITE15,MEDHHINC15,PCH_LACCESS_HHNV_10_15,PCH_LACCESS_LOWI_10_15,PCH_LACCESS_POP_10_15,PCH_LACCESS_SENIORS_10_15,PCT_18YOUNGER10,PCT_65OLDER10,PCT_FREE_LUNCH10,PCT_FREE_LUNCH15,PCT_HISP10,PCT_LACCESS_BLACK15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,PCT_LACCESS_HISP15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,PCT_LACCESS_MULTIR15,PCT_LACCESS_NHASIAN15,PCT_LACCESS_NHNA15,PCT_LACCESS_NHPI15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,PCT_LACCESS_SNAP15,PCT_LACCESS_WHITE15,PCT_NHASIAN10,PCT_NHBLACK10,PCT_NHNA10,PCT_NHPI10,PCT_NHWHITE10,PCT_REDUCED_LUNCH10,PCT_REDUCED_LUNCH15,PERCHLDPOV10,PERPOV10,POPLOSS10,POVRATE15,Population_Estimate_2015
1001,AL,autauga,18.8,0,0.0,4216.473194,4822.500269,4616.97148,-4.261872005,664.2164872,677.6727692,471.1361644,5344.427472,6543.676824,482.8486329,86.76797517,61.16986917,8.817960727,18428.43969,17496.69304,2388.233228,2180.809285,931.9351864,12640.61541,56580.0,2.025887979,22.43924831,-5.056025704,-8.68524653,26.77795899,11.99538216,36.11672052,52.190516515,2.400542413,7.726582239,8.837111779,8.460485386,3.284785556,3.351331631,0.863345301,9.793530396,11.991125,0.884808109,0.159000156,0.112092264,0.016158694,33.7696573,32.06225475,4.376377982,3.996278765,4.608749253,23.1636133,0.855765883,17.58259882,0.397647102,0.040314453,77.24615638,6.886106624,5.4928062385,0.0,0.0,0.0,12.7,54838
1003,AL,baldwin,19.6,1,0.0,3540.965826,7916.131932,7007.972675,-11.47226024,1571.779915,1394.162766,1377.874834,9952.144027,9886.831137,1127.696098,212.9463784,181.6496483,14.81963381,35210.81408,30561.26443,6404.008603,5580.66279,950.5352897,25483.18681,52387.0,-11.30038292,-0.656269542,-13.20489108,-12.8567256,22.98740844,16.77118481,36.76193858,39.44909638,4.384824294,1.94275688,4.34319915,3.844936041,2.14782716,1.905114466,0.755973354,5.460260624,5.424426597,0.618712368,0.11683339,0.099662386,0.008130817,19.3184726,16.76748933,3.513570133,3.061840062,1.298900369,13.98139347,0.735193263,9.308424547,0.628754835,0.043343483,83.50478699,5.542339783,6.346383887,0.0,0.0,0.0,12.9,202995
1005,AL,barbour,45.2,0,0.0,2713.12493,940.4193265,1031.927776,9.730600738,406.1423722,425.1449274,509.3775251,3135.676086,2948.790251,462.382655,17.09641004,39.96052669,8.082375985,5722.305602,6069.523628,770.2145501,824.1752624,422.5690403,2828.876711,31433.0,4.678791595,-5.959985343,6.067799405,7.005932608,21.90698183,14.23680664,66.38896121,63.98508258,5.051535128,9.881359689,3.425062194,3.758341321,4.135869371,4.329378079,1.85518274,11.42031572,10.73966657,1.684024675,0.062266125,0.145538576,0.029436486,20.84097171,22.10556007,2.805166443,3.001694513,4.30314705,10.30293444,0.389700259,46.69118986,0.218523509,0.087409404,46.75310485,4.582140068,2.31752797,1.0,1.0,0.0,32.0,26294
1007,AL,bibb,29.3,0,0.0,419.0999425,249.2047527,232.6426702,-6.645973782,275.060875,224.3881246,8.596762482,491.4490662,596.1628288,5.259244042,1.994317987,2.513097181,0.0,1044.867327,969.378841,150.5533234,137.6882309,53.81877202,540.5122387,40767.0,-18.42237664,21.30714448,-7.224695844,-8.545206548,22.69692341,12.68164957,53.5022779,52.2576761,1.771765219,1.828932762,1.087518013,1.015241851,3.458580095,2.821427444,0.037515874,2.144660992,2.601627008,0.022951098,0.008703111,0.01096704,0.0,4.559752683,4.230324421,0.657007739,0.600865071,0.676710323,2.358770407,0.096006982,21.9245036,0.279293039,0.030547676,75.02072878,9.253986333,9.060806743,1.0,0.0,0.0,22.2,22562
1009,AL,blount,22.2,0,0.0,95.84268727,384.9116074,910.686113,136.596168,705.4667827,719.931444,497.4898913,609.0277084,1650.959482,202.9141865,8.428994396,28.93824223,1.062851177,1548.175559,3724.428242,195.0490512,505.9142824,175.3703384,3387.241266,50487.0,2.050367451,171.0811772,140.5688567,159.3779766,24.60835281,14.72209623,43.93136026,46.62458543,8.070199923,0.167200529,0.671490191,1.58872006,3.269379844,3.336414144,0.867886486,1.062467654,2.880149823,0.353990068,0.014704641,0.050483658,0.001854177,2.700840095,6.497380137,0.340269096,0.882583096,0.812727493,5.909147039,0.200621053,1.263040368,0.497191305,0.031401556,88.88733819,8.097946592,7.89558147,0.0,0.0,0.0,14.7,57522
1011,AL,bullock,51.2,0,0.0,2634.506685,607.0978682,616.7153899,1.584179782,272.8442583,415.8613008,24.07888941,2199.359828,2154.7893,36.52317132,0.968748205,7.70528758,0.0,4089.983548,4141.900365,554.3880207,566.5393544,225.322525,1462.196457,28251.0,52.41709811,-2.026522788,1.269364948,2.191846354,22.26498076,13.45977643,90.12032932,52.190516515,7.119296317,24.13878216,5.56256064,5.650681601,7.285560969,11.10444061,0.220623872,20.15173014,19.74335074,0.334645147,0.008876198,0.070600033,0.0,37.47465226,37.95034236,5.079604368,5.190941491,6.01662283,13.39743867,0.18325087,69.97434488,0.18325087,0.036650174,21.9168041,0.126662445,5.4928062385,1.0,1.0,0.0,39.6,10400
1013,AL,butler,36.0,0,0.0,550.9011026,264.8260771,264.1401156,-0.259023413,395.0316718,320.168301,11.08490189,593.2251386,612.9347608,11.44098716,4.955498356,7.298759186,0.0,1307.819706,1304.328756,254.9544283,254.7681402,91.43779529,729.7324117,33868.0,-18.95123254,3.322452285,-0.266928936,-0.073067226,24.13710794,16.6563231,67.87410926,67.33652313,0.911825082,2.629976143,1.264267328,1.260992579,4.652357458,3.770678378,0.052918804,2.832029115,2.926121931,0.054618739,0.023657318,0.034843936,0.0,6.243470213,6.226804584,1.217140537,1.216251206,1.076878993,3.483708463,0.830667876,43.1899556,0.281663245,0.033417673,54.06024729,7.244655582,5.295055821,1.0,1.0,1.0,25.8,20176
1015,AL,calhoun,30.7,0,0.0,5465.72518,6959.887106,6167.764487,-11.38125673,1252.150186,1235.289629,970.8931906,11909.16286,10883.20997,886.5734644,235.0712025,118.2965151,21.96150679,30901.15059,27785.98677,4974.957133,4455.312468,1931.256358,21058.35896,42091.0,-1.346528287,-8.614819542,-10.08106093,-10.4452089,22.87723915,14.32884661,50.9823921,52.74082252,3.283237189,4.609625527,5.869756019,5.201704017,2.64551813,2.60989548,0.818821636,10.04382389,9.178566583,0.747708957,0.198251866,0.099767664,0.018521663,26.06108574,23.43385181,4.195726759,3.757474335,4.080320208,17.75997618,0.699996627,20.3901427,0.404817326,0.079276726,73.61350066,7.096843461,6.127518631,0.0,0.0,0.0,20.0,115536
1017,AL,chambers,34.4,0,0.0,2616.963013,1531.676677,1595.35385,4.157350821,616.6968134,730.2010667,126.7866311,3018.284747,3533.916216,104.1896201,108.4934056,20.68814574,0.061101226,6748.213223,7131.505717,1170.805467,1266.433475,502.6320283,4281.110416,35560.0,18.40519536,17.08359259,5.679910836,8.167711045,22.51351746,16.6768961,65.13009629,65.33101045,1.566564372,7.648583993,4.476623344,4.662732281,4.426159574,5.24080289,0.370558618,8.821524906,10.32855828,0.304514453,0.317093104,0.060465134,0.00017858,19.72296719,20.84321414,3.421906963,3.701398436,3.607493206,12.51237883,0.485167324,38.59710653,0.166593599,0.020458863,58.14116616,5.7365294,5.836236934,1.0,0.0,1.0,22.4,34007
1019,AL,cherokee,30.2,1,0.0,1.410913298,17.32604694,18.74760093,8.204722049,378.7374593,299.8869228,0.348952026,34.48386235,57.46490172,1.003704677,0.0,0.217044921,0.0,79.41023456,103.5224989,9.222339636,13.77900349,4.888563305,100.8908362,39144.0,-20.81931283,66.64288106,30.36417718,49.40897903,21.41675324,17.89603294,50.82087724,53.38941118,1.231290161,0.005428886,0.066666847,0.072136677,3.564252393,2.822199537,0.001342691,0.132686376,0.2211124,0.003862037,0.0,0.000835141,0.0,0.305553252,0.398331982,0.03548555,0.053018598,0.046005678,0.388205919,0.188541306,4.640424795,0.469429374,0.003847782,92.07356959,9.629992649,9.797130134,0.0,0.0,0.0,19.4,25739
